Date,Startup,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType,CR,Year,Month
2015-03-08,Connect India,ECommerce Logistics provider,,New Delhi,aavishkaar,Private Equity,41.25,2015.0,March
2015-03-08,The Home Salon,on-demand home beauty and wellness portal,,Mumbai,venturenursery,Seed Funding,0.0,2015.0,March
2015-03-08,Jusride,Self Driven Car rental,,Mumbai,"alok mittal, zeeshan hayat, niraj singh, nikunj jain, anirudh damani, punit goyal",Seed Funding,0.0,2015.0,March
2015-03-08,Oyorooms,Budget Hotel accommodation brand,,New Delhi,"softbank group, greenoaks capital, sequoia capital,\\xc2\\xa0 lightspeed india",Private Equity,825.0,2015.0,March
2015-03-08,Glowship,Energy & Environment Online Marketplace,,Bangalore,infuse ventures,Seed Funding,0.0,2015.0,March
2015-03-08,Wizrocket,User Engagment & Analytics platform,,Mumbai,"sequoia capital, accel partners",Private Equity,79.2,2015.0,March
2015-04-08,Pickingo,On-Demand Delivery Logistics,,New Delhi,"orios venture partners, zishaan hayath",Private Equity,10.725,2015.0,April
2015-05-08,Grex,fund raising platform for startups,,Pune,"kunal bajaj, chandru badrinarayanan",Seed Funding,5.3625,2015.0,May
2015-05-08,LetsTransport,Logistics Tech Platform,,Bangalore,"rebright partners, ankush nijhawan, gaurav bhatnagar, manish dhingra",Seed Funding,10.725,2015.0,May
2015-05-08,Zo Rooms,Online budget hotel chain,,New Delhi,"tiger global management, orios venture partners",Private Equity,247.5,2015.0,May
2015-05-08,Doormint,Hyperlocal Handyman services,,Mumbai,"helion venture partners, kalaari capital",Private Equity,24.75,2015.0,May
2015-05-08,NightStay,hotel booking app,,Noida,"bedrock ventures, rajesh sawhney, shailesh singh",Seed Funding,4.125,2015.0,May
2015-05-08,Zocalo,Rental Accomodation finder,,New Delhi,"sachin bhatia, rajesh sawhney",Seed Funding,0.0,2015.0,May
2015-05-08,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,"ramesh jogani, shailesh viswanathan, jay srinivasan",Seed Funding,6.47625,2015.0,May
2015-06-08,Klozee,Luxury Apparel rental,,Bangalore,tracxn labs,Seed Funding,0.0,2015.0,June
2015-06-08,Appvigil,App security\\xc2\\xa0 testing platform,,Mumbai,"ravi gururaj, gaurav sharma, viswanath ramachandran, ripplewave",Seed Funding,4.125,2015.0,June
2015-06-08,practo,Doctor Appointment booking app,,Bangalore,"sofina, google capital, altimeter capital, sequoia capital global equities, yuri milner, sequoia capital, matrix partners",Private Equity,742.5,2015.0,June
2015-06-08,LoudShout,anonymous bulletin board app,,New Delhi,"sanjay sethi, ravi jaipuria & others",Seed Funding,0.0,2015.0,June
2015-06-08,Wetravelsolo,Travel community platform,,New Delhi,"ccube angels, frontline strategy",Seed Funding,0.0,2015.0,June
2015-06-08,Ketto,Crowd funding platform,,Mumbai,"chennai angels, calcutta angels, ah! ventures, intellecap impact investment network, indus age partners, singapore angel network, india internet fund, letsventure",Seed Funding,5.775,2015.0,June
2015-06-08,Ezetap,Mobile based PoS solution,,Bangalore,"horizons ventures, capricorn investment group, social+capital, helion advisors, berggruen holdings",Private Equity,206.25,2015.0,June
2015-06-08,NDTV ecommerce venture,Car & Bike ecommerce platform,,Mumbai,"inflexionpoint, pramod bhasin, sixth sense ventures, vindi banga, hiro mashita",Private Equity,0.0,2015.0,June
2015-07-08,Carlxe2x80x99s Jr,Fast food Chain Franchisee,,Gurgaon,youwecan ventures,Seed Funding,5.1975,2015.0,July
2015-07-08,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,"wealth first, ashneer grover, atul phadnis",Private Equity,4.125,2015.0,July
2015-07-08,GIBSS,Energy saving solutions provider,,Mumbai,"responsability investments, infuse ventures",Private Equity,0.0,2015.0,July
2015-07-08,StoreMore.in,Self-Storage Spaces,,Noida,bedrock ventures,Seed Funding,0.0,2015.0,July
2015-07-08,iOrderFresh,Grocery retail Mobile app,,New Delhi,best foodworks,Seed Funding,0.0,2015.0,July
2015-10-08,MyTaxiIndia,Taxi Rental platform,,Gurgaon,"nihon kotsu,",Private Equity,4.125,2015.0,October
2015-10-08,eSadar,ecommerce,,New Delhi,"neha vats, gaurav vats",Seed Funding,0.66,2015.0,October
2015-10-08,Actionable Analytics,Machine Learning Platform,,New Delhi/ Houston,"b m gupta, vinod singhal",Seed Funding,0.0,2015.0,October
2015-10-08,MyPoolin,mobile social network,,New Delhi,qprize from qualcomm ventures,Seed Funding,2.0625,2015.0,October
2015-10-08,NearBuy (previouslyxc2xa0 groupon India),Hyper-Local Ecommerce,,New Delhi,sequoia capital,Private Equity,132.0,2015.0,October
2015-10-08,Inkmonk,Online printing marketplace,,Chennai,"girish mathrubootham, phanindra sama, vikram chachra, others from letsventure",Seed Funding,2.0625,2015.0,October
2015-10-08,ToneTag,mobile payment software platform,,Bangalore,reliance capital venture,Private Equity,8.25,2015.0,October
2015-10-08,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,tiger global management,Private Equity,247.5,2015.0,October
2015-11-08,Livspace,Home Design & D\\xc3\\xa9cor solutions,,Bangalore,"helion ventures, jungle ventures & bessemer venture partners",Private Equity,66.0,2015.0,November
